"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.396319","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"7","1.064562","192.168.0.111","162.247.241.1","TCP","54","[TCP ACKed unseen segment] 50192  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"8","1.298275","192.168.0.111","224.0.0.252","IGMPv2","46","Membership Report group 224.0.0.252"
"9","1.298344","192.168.0.111","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"10","1.298370","192.168.0.111","239.255.255.250","IGMPv2","46","Membership Report group 239.255.255.250"
"11","1.394139","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"13","2.395909","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"16","2.786877","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"17","3.402903","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"20","3.645141","192.168.0.111","172.65.250.49","TCP","54","[TCP ACKed unseen segment] 50255  >  5223 [ACK] Seq=1 Ack=2 Win=514 Len=0"
"25","4.232043","192.168.0.111","104.18.25.250","TCP","54","50256  >  443 [ACK] Seq=1 Ack=200 Win=508 Len=0"
"26","4.232043","192.168.0.111","104.18.25.250","TCP","54","50348  >  443 [ACK] Seq=1 Ack=200 Win=508 Len=0"
"27","4.318110","192.168.0.111","104.18.18.119","TLSv1.2","2297","Application Data"
"30","4.404382","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"31","4.404440","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"36","4.593269","192.168.0.111","104.18.18.119","TCP","54","50377  >  443 [ACK] Seq=2244 Ack=1722 Win=514 Len=0"
"37","5.403789","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"39","6.400529","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"41","6.682687","192.168.0.111","74.201.103.198","TCP","66","50517  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"43","6.824398","192.168.0.111","74.201.103.198","TCP","54","50517  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"44","6.824436","192.168.0.111","74.201.103.198","TCP","54","50517  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"45","7.242892","192.168.0.111","74.201.103.198","TCP","54","[TCP Retransmission] 50517  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"46","7.399148","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"52","7.790004","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"55","8.397884","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"57","8.629089","192.168.0.111","162.247.241.10","TCP","54","[TCP ACKed unseen segment] 50359  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"59","8.681465","192.168.0.111","162.247.241.1","TCP","54","[TCP ACKed unseen segment] 50357  >  443 [ACK] Seq=1 Ack=2 Win=517 Len=0"
"60","9.403199","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"63","10.396936","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
